date,t_min,t_max,t_mean,d_mean,rh_min,rh_max,rh_mean,wind_mean,solar_radiation_MJ,precipitation_mm,wind_2m,et0_mm,water_balance_mm,water_balance_cumsum_mm
2025-05-23,10.426300000000026,20.60555000000005,16.312415000000023,12.187989166666682,59.88232611495939,96.36142355632794,77.85709125122344,1.1138325273260352,16.260892,1.3030171509,0.8330922363705365,2.8592175222776697,-1.5562003713776698,-1.5562003713776698
2025-05-24,10.83734000000004,15.53585000000004,13.221352083333358,7.904404583333353,56.77709800547957,91.84442771856392,71.10339762346656,3.293074529484995,16.937112,0.3044366853599999,2.4630586349364734,2.951577934210806,-2.647141248850806,-4.203341620228476
2025-05-25,9.72067000000004,12.865080000000034,11.044777916666694,8.39169500000002,73.30839602733211,95.7445118389016,83.99114642005738,1.5046533601373906,4.449504,4.3898523084,1.125407098469821,1.1809166466933254,3.2089356617066747,-0.994405958521801
2025-05-26,9.293970000000002,13.26740000000001,11.560578333333355,9.58975958333336,73.41233551166188,96.58438388546652,88.01564556314854,1.8343885637895327,7.00152,6.7459643,1.372032898562162,1.4585373234085721,5.287426976591428,4.293021018069627
2025-05-27,10.07964000000004,17.263760000000048,13.518618750000025,8.998769166666692,56.201325894642856,90.88185983501758,75.23124658438311,2.536873858251431,12.903872,13.654318401,1.8974575298446086,2.6140726308751554,11.040245770124844,15.333266788194472
2025-05-28,10.399680000000046,18.47744,14.329169166666691,8.568035416666689,46.69364336677241,90.85639727280382,70.47889211983292,2.833768087001321,14.889252,2.0247250914,2.119519887449246,3.1273603093786084,-1.1026352179786083,14.230631570215863
2025-05-29,10.449850000000026,16.92043000000001,13.681667500000016,10.901448333333358,75.66957370586935,92.71593511283278,83.41487392913874,2.591229922674925,12.39621,8.458852829451,1.9381132066720588,2.2042658800701136,6.2545869493808866,20.48521851959675
2025-05-30,9.43942000000004,19.419700000000034,14.338768333333364,8.553883750000026,42.06805211981104,94.33289665265076,71.10101371415259,2.264993267836731,17.069762,0.427901743895,1.6941041499266383,3.330136566356136,-2.902234822461136,17.582983697135614
2025-05-31,8.365700000000004,20.220180000000028,15.348954583333352,9.051504166666687,46.850434321040055,89.99412992979782,68.18729844871997,1.5548326032007174,19.26784,0.0694695421265999,1.16293871727015,3.3875022759917948,-3.318032733865195,14.264950963270419
2025-06-01,10.018400000000042,24.385640000000024,18.44553083333336,12.788841250000024,52.85472727461984,92.24869851298544,71.13757034505132,1.118224853234539,24.112116,0.4721944441097,0.8363774812562899,4.124283190579727,-3.652088746470027,10.61286221680039
2025-06-02,13.775959999999998,26.674040000000048,21.35533541666669,12.593931250000018,37.44090019508917,90.97335759110685,60.13118415077606,0.7838696244661194,26.71933,0.000298023221,0.5862961284109266,4.724828654852588,-4.724530631631588,5.888331585168803
2025-06-03,13.62097,28.01583000000005,21.908343333333352,13.71814250000002,40.65871309678551,83.9845655513582,61.72784157158088,2.2703749600006646,25.442688,0.078195334031,1.6981293923668752,5.276365889280993,-5.198170555249993,0.6901610299188103
2025-06-04,16.585350000000005,26.998130000000003,22.43140041666668,15.48840750000003,49.56322545733471,88.61774598246527,66.32152471065739,1.3964588231153374,25.54848,0.281164044881,1.0444828781768785,4.877588582586801,-4.5964245377058015,-3.906263507786991
2025-06-05,14.585100000000011,30.616360000000043,23.809777500000024,14.951635833333354,31.92261632607852,92.7753137215552,61.24451250743241,1.3717461093470895,26.09884,0.023052096161,1.0259989773435998,5.297983853175394,-5.274931757014394,-9.181195264801385
2025-06-06,16.742150000000038,29.862300000000005,23.727871250000018,15.643742083333356,35.959851903501914,91.94234506668414,63.87454622100574,1.516043725038126,24.44672,0.1156777129,1.1339265341438813,5.120878502820882,-5.005200789920882,-14.186396054722266
2025-06-07,15.32504,30.46620000000001,24.00568875000002,14.592335000000022,33.94049732261061,94.27139203472856,59.62994649220289,1.609932985965256,27.282532,0.0004410743809999,1.2041511078010518,5.572386858048614,-5.571945783667615,-19.75834183838988
2025-06-08,17.474760000000003,30.032830000000047,24.696992916666687,15.984975833333351,38.37119759260748,91.72637060446334,61.26277775057374,1.7807862090309416,23.179196,0.128144021962,1.33194095968894,5.083359055171325,-4.955215033209325,-24.713556871599206
2025-06-09,15.5582,23.66990000000004,19.912898333333352,13.17620541666669,51.54236049127279,89.06296119808079,66.39504278308111,1.549983121932231,15.643228,3.712630383322,1.159311542541379,3.332034731850375,0.38059565147162466,-24.33296122012758
2025-06-10,13.541530000000025,22.76446000000004,18.577016250000018,9.093827500000025,41.14622050376578,82.94655096009083,55.351938324937855,1.2734208415526576,23.415552,0.00165700908,0.9524564875805783,4.233622079751959,-4.23196507067196,-28.56492629079954
2025-06-11,12.955650000000048,25.75524000000001,20.152282500000023,10.770682916666692,33.93677881017858,90.65658579772528,57.82214391754109,2.4358455455250345,24.69366,0.17444789557,1.821893294718497,5.077316606677119,-4.902868711107119,-33.46779500190666
2025-06-12,14.31075000000004,24.4606,19.425019166666683,7.8319695833333585,32.22678211391395,79.80481545618605,49.0950292782378,2.078700589415217,29.409972,0.00085830686,1.5547663408053507,5.502801310072949,-5.50194300321295,-38.96973800511961
2025-06-13,13.323300000000016,22.69686000000001,18.17909375000002,5.035025416666692,27.327967383687383,63.96826282966263,43.84980721250699,2.569599227121892,29.442548,0.0017195938999999,1.9219345046765375,5.653517506501963,-5.651797912601963,-44.62153591772157
2025-06-14,10.643640000000005,22.64004,17.82112083333335,7.652819166666691,34.629929022879324,82.29216737538866,53.722616659227775,1.9381492278267505,23.201936,0.0530511141215,1.4496407987889386,4.408942110168903,-4.355890996047403,-48.97742691376898
2025-06-15,12.77224000000001,24.03567000000004,19.300935833333355,7.950722916666692,31.992464649642034,75.89492862897744,49.88663515865949,1.1449501062949858,28.99758,0.0025796843730999,0.8563666630169865,4.9939027035972785,-4.991323019224178,-53.968749932993155
2025-06-16,15.286950000000047,27.63888000000003,21.83317250000003,8.724504583333351,26.60253587956331,63.76475970114677,44.90128522828814,1.1698905991436537,29.488884,0.0021457652730999,0.875020931458366,5.4904613585780275,-5.488315593304928,-59.45706552629808
2025-06-17,16.101400000000012,28.71566000000001,22.525791250000022,13.051282083333351,34.80772484641024,85.87194165326275,56.93960094658143,1.478903652374831,24.680404,1.063346844236,1.1061475768635542,5.070429354431855,-4.007082510195856,-63.46414803649394
2025-06-18,16.71926000000002,27.876670000000047,22.81911125000002,12.87042791666669,39.70361962102453,85.79517100144291,55.33171545690271,1.2203519485243188,25.057476,0.0905454132566,0.9127635519820598,4.922958519627639,-4.832413106371039,-68.29656114286497
2025-06-19,17.333830000000034,28.96640000000002,23.791536250000025,12.046632083333352,33.18791782993418,69.76597821642312,49.33047191694501,2.264485699794404,23.676396,0.0092685223,1.6937245138636587,5.529945723700015,-5.520677201400015,-73.817238344265
2025-06-20,15.824700000000009,24.25884000000002,20.41192625000002,5.190964583333352,22.747760701920008,64.42981308341936,39.26569940011674,3.796048143198569,25.534316,0.0414967553245,2.8392582900946475,6.170903390267825,-6.129406634943325,-79.94664497920832
2025-06-21,12.25613000000004,23.770200000000045,18.95954916666669,4.329327500000024,26.15303407668649,71.74742955045515,39.94740399811058,2.1612102842553824,25.020676,0.003105401925,1.616479555772831,5.04665407326276,-5.04354867133776,-84.99019365054608
2025-06-22,12.38226000000003,27.46682000000004,20.62338166666669,5.947904166666689,24.70655748095792,62.324789744464645,40.48965391410769,1.8122513640615328,29.312032,0.00085830686,1.3554753562243969,5.76839121549878,-5.76753290863878,-90.75772655918486
2025-06-23,14.970240000000048,31.238730000000032,23.92144458333335,8.425010416666689,22.90754256073243,63.19463296701112,39.36561347976646,2.082218506443782,28.861828,0.0004368277038434,1.5573975706292174,6.405787896548674,-6.40535106884483,-97.1630776280297
2025-06-24,15.967200000000048,30.28567000000004,24.20027083333336,10.262293750000028,28.57505356491534,69.44602722938528,43.2225932161276,2.8435569224698227,26.67068,0.2275430296497,2.126841457462554,6.412374164827907,-6.184831135178206,-103.3479087632079
2025-06-25,16.86044000000004,31.791160000000048,25.44717583333336,12.798152500000022,33.95925740128536,71.62972920252216,46.8987835585103,2.585189581464458,25.3042,0.726181273561,1.933595326969309,6.1718201348567625,-5.4456388612957625,-108.79354762450366
2025-06-26,18.71252000000004,32.05000000000001,26.681862500000022,13.01258125000003,30.38708681508229,71.00778126700246,44.81822006305709,1.892611691922247,24.414696,0.001907348661,1.4155809498486664,5.770708987444473,-5.768801638783473,-114.56234926328713
2025-06-27,19.107500000000016,32.18643000000003,25.40593458333335,14.772890833333356,28.20442180993915,96.83734697615692,55.89401928781405,1.7227055267231224,21.362172,12.555465143,1.2884994509103187,5.140487459509056,7.414977683490943,-107.14737157979619
2025-06-28,18.365700000000004,25.27236000000005,21.547042500000018,13.437064166666694,41.55119838346506,96.33182547798,63.12744274891842,3.3055090064871493,20.079592,2.4553246531663,2.472359015379386,4.636455724638968,-2.181131071472668,-109.32850265126885
2025-06-29,15.180930000000046,25.57705000000004,21.455070000000024,11.989076666666683,43.85446966085868,78.72310465370614,55.85304588384057,2.30540392421167,18.48274,0.0210951547765,1.724329343810516,4.265328444676196,-4.244233289899696,-113.57273594116855
2025-06-30,16.525230000000022,27.438559999999995,22.76712333333335,11.048121250000028,26.580987388055224,85.33872101102644,50.74394193216045,2.7422575824259834,21.86106,0.220531217761,2.0510745071629612,5.3402597808923575,-5.119728563131358,-118.6924645042999
2025-07-01,13.857799999999996,27.086150000000032,21.24162416666669,6.774544166666686,25.88511573055208,66.89344215044494,41.09871284275145,2.3654019770046824,29.593248,0.0,1.7692049519050328,6.080237618230872,-6.080237618230872,-124.77270212253077
2025-07-02,14.022550000000024,28.55654000000004,22.41502708333336,8.141517916666691,25.080341324250025,68.69050103687711,42.20494589283492,1.4999663759611284,29.366396,0.0008523463,1.1219014636158906,5.69955057480012,-5.6986982285001195,-130.4714003510309
2025-07-03,17.513329999999996,32.02510000000001,25.518507500000027,9.546327916666687,22.45754814050028,58.23634155351999,38.09829237769216,1.0727028562400032,29.247944,0.000435113801,0.8023292546604349,5.7949825359446825,-5.794547422143682,-136.2659477731746
2025-07-04,21.039180000000044,34.16250000000002,27.73156750000003,11.608305000000025,20.96138172018057,63.7072532001591,38.73639060179434,1.1017080044373395,28.490832,0.0008523463199999,0.8240236864400382,6.0134835422074655,-6.012631195887465,-142.27857896906204
2025-07-05,20.203550000000007,32.085050000000024,26.131992500000024,12.34957125000003,24.38268470555214,79.39444042139831,45.59397493456127,1.786161206788858,26.176264,0.0258564938568434,1.3359611950409989,5.987030504487129,-5.961174010630286,-148.23975297969233
2025-07-06,18.7396,33.02328,26.66301666666668,8.775606250000022,20.477973878016552,50.5886493493227,33.96470591940838,1.3564251093410375,27.786096,0.000941753282,1.014539618916425,5.976058715836669,-5.975116962554669,-154.214869942247
2025-07-07,20.274560000000008,34.26492000000002,28.011701250000023,13.917837916666697,23.23559934779415,75.50071000135645,45.01135545031352,3.1155537949258263,24.131996,0.309228893559,2.3302818106583403,6.928958695315098,-6.6197298017560975,-160.8345997440031
2025-07-08,20.125500000000045,33.30690000000004,26.208520833333363,13.967666250000022,23.396044696688545,81.98825428040615,51.49169595941146,2.291829150640242,23.313692,0.355735419394,1.7141760773226051,6.05950633916969,-5.703770919775691,-166.53837066377878
