date,t_min,t_max,t_mean,d_mean,rh_min,rh_max,rh_mean,wind_mean,solar_radiation_MJ,precipitation_mm
2025-05-23,10.426300000000026,20.60555000000005,16.312415000000023,12.187989166666682,59.88232611495939,96.36142355632794,77.85709125122344,1.1138325273260352,16.260892,1.3030171509
2025-05-24,10.83734000000004,15.535850000000039,13.221352083333358,7.904404583333353,56.77709800547957,91.84442771856392,71.10339762346656,3.293074529484995,16.937112,0.30443668535999996
2025-05-25,9.720670000000041,12.865080000000034,11.044777916666694,8.39169500000002,73.30839602733211,95.74451183890159,83.99114642005738,1.5046533601373906,4.449504,4.3898523084
2025-05-26,9.293970000000002,13.26740000000001,11.560578333333355,9.589759583333361,73.41233551166188,96.58438388546652,88.01564556314854,1.8343885637895332,7.00152,6.7459643
2025-05-27,10.07964000000004,17.263760000000048,13.518618750000023,8.998769166666692,56.201325894642856,90.88185983501758,75.23124658438311,2.536873858251431,12.903872,13.654318401
2025-05-28,10.399680000000046,18.47744,14.329169166666693,8.568035416666689,46.69364336677241,90.85639727280382,70.47889211983292,2.833768087001321,14.889252,2.0247250913999997
2025-05-29,10.449850000000026,16.92043000000001,13.681667500000017,10.901448333333358,75.66957370586935,92.71593511283278,83.41487392913874,2.591229922674925,12.39621,8.458852829451
2025-05-30,9.439420000000041,19.419700000000034,14.338768333333363,8.553883750000026,42.06805211981104,94.33289665265075,71.10101371415259,2.264993267836731,17.069762,0.427901743895
2025-05-31,8.365700000000004,20.220180000000028,15.348954583333352,9.051504166666689,46.850434321040055,89.99412992979782,68.18729844871997,1.5548326032007174,19.26784,0.06946954212659999
2025-06-01,10.018400000000042,24.385640000000024,18.44553083333336,12.788841250000024,52.85472727461984,92.24869851298544,71.13757034505132,1.118224853234539,24.112116,0.4721944441097
2025-06-02,13.775959999999998,26.674040000000048,21.35533541666669,12.593931250000018,37.44090019508917,90.97335759110685,60.13118415077606,0.7838696244661194,26.71933,0.000298023221
2025-06-03,13.62097,28.01583000000005,21.908343333333352,13.71814250000002,40.65871309678551,83.9845655513582,61.72784157158088,2.2703749600006646,25.442688,0.078195334031
2025-06-04,16.585350000000005,26.998130000000003,22.43140041666668,15.48840750000003,49.56322545733471,88.61774598246527,66.32152471065739,1.3964588231153374,25.54848,0.281164044881
2025-06-05,14.585100000000011,30.616360000000043,23.809777500000024,14.951635833333354,31.922616326078522,92.7753137215552,61.24451250743241,1.3717461093470895,26.09884,0.023052096161000003
2025-06-06,16.742150000000038,29.862300000000005,23.727871250000018,15.643742083333356,35.959851903501914,91.94234506668414,63.87454622100574,1.516043725038126,24.44672,0.11567771290000001
2025-06-07,15.325040000000001,30.466200000000015,24.00568875000002,14.592335000000022,33.94049732261061,94.27139203472856,59.62994649220289,1.609932985965256,27.282532,0.00044107438099999995
2025-06-08,17.474760000000003,30.032830000000047,24.696992916666687,15.984975833333353,38.37119759260748,91.72637060446334,61.26277775057374,1.7807862090309416,23.179196,0.128144021962
2025-06-09,15.5582,23.66990000000004,19.912898333333352,13.17620541666669,51.54236049127279,89.06296119808079,66.39504278308111,1.5499831219322313,15.643228,3.7126303833220002
2025-06-10,13.541530000000023,22.764460000000042,18.577016250000018,9.093827500000025,41.14622050376578,82.94655096009083,55.351938324937855,1.2734208415526576,23.415552,0.00165700908
2025-06-11,12.955650000000048,25.755240000000015,20.152282500000023,10.770682916666692,33.93677881017858,90.65658579772527,57.82214391754109,2.4358455455250345,24.69366,0.17444789557
2025-06-12,14.310750000000041,24.4606,19.425019166666683,7.8319695833333585,32.22678211391395,79.80481545618605,49.0950292782378,2.078700589415217,29.409972,0.00085830686
2025-06-13,13.323300000000017,22.696860000000015,18.17909375000002,5.0350254166666915,27.327967383687383,63.96826282966263,43.84980721250699,2.5695992271218917,29.442548,0.0017195938999999998
2025-06-14,10.643640000000005,22.64004,17.82112083333335,7.652819166666691,34.629929022879324,82.29216737538866,53.722616659227775,1.9381492278267505,23.201936,0.0530511141215
2025-06-15,12.77224000000001,24.03567000000004,19.300935833333355,7.950722916666692,31.992464649642034,75.89492862897744,49.886635158659494,1.1449501062949858,28.99758,0.0025796843730999997
2025-06-16,15.286950000000047,27.63888000000003,21.83317250000003,8.724504583333351,26.60253587956331,63.76475970114677,44.90128522828814,1.1698905991436537,29.488884,0.0021457652730999996
2025-06-17,16.101400000000012,28.715660000000014,22.525791250000026,13.051282083333353,34.80772484641024,85.87194165326275,56.93960094658143,1.4789036523748307,24.680404,1.063346844236
2025-06-18,16.71926000000002,27.876670000000047,22.81911125000002,12.87042791666669,39.70361962102453,85.79517100144291,55.33171545690271,1.2203519485243188,25.057476,0.0905454132566
2025-06-19,17.333830000000034,28.96640000000002,23.791536250000025,12.046632083333352,33.18791782993418,69.76597821642312,49.33047191694501,2.264485699794404,23.676396,0.009268522300000002
2025-06-20,15.824700000000007,24.25884000000002,20.41192625000002,5.1909645833333515,22.747760701920008,64.42981308341936,39.26569940011674,3.796048143198569,25.534316,0.0414967553245
2025-06-21,12.256130000000041,23.770200000000045,18.95954916666669,4.329327500000024,26.15303407668649,71.74742955045515,39.94740399811058,2.1612102842553824,25.020676,0.003105401925
2025-06-22,12.38226000000003,27.46682000000004,20.62338166666669,5.947904166666689,24.706557480957922,62.324789744464645,40.48965391410769,1.8122513640615328,29.312032,0.00085830686
2025-06-23,14.970240000000047,31.238730000000032,23.92144458333335,8.425010416666689,22.90754256073243,63.194632967011124,39.36561347976646,2.082218506443782,28.861828,0.00043682770384342
2025-06-24,15.967200000000048,30.28567000000004,24.20027083333336,10.262293750000028,28.57505356491534,69.44602722938528,43.2225932161276,2.8435569224698227,26.67068,0.2275430296497
2025-06-25,16.86044000000004,31.791160000000048,25.447175833333358,12.798152500000022,33.959257401285356,71.62972920252216,46.8987835585103,2.585189581464458,25.3042,0.726181273561
2025-06-26,18.71252000000004,32.05000000000001,26.681862500000022,13.01258125000003,30.38708681508229,71.00778126700246,44.81822006305709,1.892611691922247,24.414696,0.001907348661
2025-06-27,19.107500000000016,32.18643000000003,25.40593458333335,14.772890833333355,28.20442180993915,96.83734697615692,55.89401928781405,1.7227055267231224,21.362172,12.555465143
2025-06-28,18.365700000000004,25.27236000000005,21.547042500000018,13.437064166666694,41.551198383465064,96.33182547797999,63.12744274891842,3.3055090064871493,20.079592,2.4553246531663
2025-06-29,15.180930000000046,25.577050000000042,21.455070000000024,11.989076666666685,43.85446966085868,78.72310465370614,55.85304588384057,2.30540392421167,18.48274,0.0210951547765
2025-06-30,16.525230000000022,27.438559999999995,22.76712333333335,11.048121250000028,26.580987388055224,85.33872101102644,50.74394193216045,2.7422575824259834,21.86106,0.220531217761
2025-07-01,13.857799999999997,27.086150000000032,21.241624166666686,6.774544166666686,25.88511573055208,66.89344215044494,41.09871284275145,2.3654019770046824,29.593248,0.0
2025-07-02,14.022550000000024,28.55654000000004,22.41502708333336,8.141517916666691,25.080341324250025,68.69050103687711,42.20494589283492,1.4999663759611284,29.366396,0.0008523463
2025-07-03,17.513329999999996,32.02510000000001,25.518507500000027,9.546327916666689,22.45754814050028,58.236341553519985,38.098292377692154,1.0727028562400032,29.247944,0.000435113801
2025-07-04,21.039180000000044,34.16250000000002,27.73156750000003,11.608305000000025,20.96138172018057,63.7072532001591,38.73639060179434,1.1017080044373395,28.490832,0.0008523463199999999
2025-07-05,20.203550000000007,32.085050000000024,26.131992500000024,12.34957125000003,24.38268470555214,79.39444042139831,45.59397493456127,1.786161206788858,26.176264,0.025856493856843417
2025-07-06,18.739599999999996,33.02328,26.66301666666668,8.775606250000022,20.477973878016552,50.5886493493227,33.96470591940838,1.3564251093410375,27.786096,0.0009417532820000001
2025-07-07,20.274560000000008,34.26492000000002,28.011701250000026,13.917837916666697,23.23559934779415,75.50071000135645,45.011355450313516,3.1155537949258263,24.131996,0.309228893559
2025-07-08,20.125500000000045,33.30690000000004,26.208520833333363,13.967666250000022,23.396044696688545,81.98825428040615,51.49169595941146,2.291829150640242,23.313692,0.35573541939400005
2025-07-09,13.736230000000035,21.264980000000037,17.994829166666687,14.473444166666686,62.46021363985047,90.68867625920531,80.32289015235774,2.7529975505973767,9.880044,8.803365171251
2025-07-10,13.205600000000004,19.096400000000017,15.88805250000002,11.89275791666669,61.260865112189265,92.73483208179655,78.0151141284735,2.1063916302822094,8.73255,2.4868124342
2025-07-11,12.984640000000013,21.749540000000025,17.236369583333357,10.79152583333336,46.985630974771084,94.95604738436704,68.00348438206416,1.0548136367986627,18.56781,0.39620994527
2025-07-12,14.33850000000001,25.22732000000002,20.232029583333357,9.602198333333362,32.04697310405406,73.91558216321182,52.46871050299848,0.9142866797193752,24.374148,0.0176012508117
2025-07-13,15.86850000000004,28.71096,22.897837916666685,11.116319166666687,31.113823197209943,71.97664412979096,49.552496984383396,1.3725869713792234,23.258232,0.005519390016999999
2025-07-14,17.711880000000008,28.461720000000014,24.086970416666684,13.733151250000022,36.81750804576433,72.46529679037388,53.95597490033014,0.9186636020570007,18.084366,0.227227802122
2025-07-15,18.793900000000008,29.563800000000015,23.71138208333336,15.509613333333355,37.04435935750126,85.91889200779133,62.500820222071376,1.148761075932544,22.913392,0.680664175275
