date,orbit,vv_mean_db,vv_min_db,vv_max_db,vv_std_db,vh_mean_db,vh_min_db,vh_max_db,vh_std_db,vh_vv_ratio_db,valid_fraction,scene_id
2025-11-14,ascending,-12.064682006835938,-27.127145767211914,-0.38865405321121216,3.280660390853882,-19.315540313720703,-100.0,-8.044514656066895,6.842550277709961,-7.250858306884766,1.0,S1A_IW_GRDH_1SDV_20251114T161751_20251114T161816_061876_07BC8F_4CF4_COG.SAFE
2025-11-20,ascending,-11.527117729187012,-24.2343807220459,-0.887002170085907,3.141772508621216,-18.23321533203125,-100.0,-6.167476654052734,3.8627424240112305,-6.706097602844238,1.0,S1C_IW_GRDH_1SDV_20251120T161636_20251120T161701_005100_00A1B5_2AC3_COG.SAFE
2025-11-26,ascending,-11.292176246643066,-29.360559463500977,0.07871446013450623,3.292524576187134,-18.487722396850586,-100.0,-8.079511642456055,6.336369514465332,-7.1955461502075195,1.0,S1A_IW_GRDH_1SDV_20251126T161750_20251126T161815_062051_07C365_78F2_COG.SAFE
2025-12-02,ascending,-11.132699966430664,-23.932485580444336,0.5715291500091553,3.103724956512451,-17.518665313720703,-100.0,-6.658627986907959,3.668152332305908,-6.385965347290039,1.0,S1C_IW_GRDH_1SDV_20251202T161635_20251202T161700_005275_00A79B_4898_COG.SAFE
2025-12-08,ascending,-11.20334529876709,-31.290178298950195,0.6184412240982056,3.169159173965454,-18.470914840698242,-100.0,-7.218717098236084,6.192997932434082,-7.267569541931152,1.0,S1A_IW_GRDH_1SDV_20251208T161749_20251208T161814_062226_07CA40_568D_COG.SAFE
2025-12-14,ascending,-11.496688842773438,-25.20183753967285,0.3803466558456421,3.0559890270233154,-18.6429443359375,-100.0,-8.244000434875488,4.416365623474121,-7.1462554931640625,1.0,S1C_IW_GRDH_1SDV_20251214T161635_20251214T161700_005450_00AD9B_1680_COG.SAFE
2025-12-20,ascending,-12.396350860595703,-24.62865447998047,-0.8653183579444885,3.1690187454223633,-20.63393783569336,-100.0,-7.604466438293457,8.72818374633789,-8.237586975097656,1.0,S1A_IW_GRDH_1SDV_20251220T161748_20251220T161813_062401_07D10A_5D80_COG.SAFE
2025-12-26,ascending,-12.182119369506836,-27.904996871948242,-0.5488097071647644,3.1926119327545166,-19.374515533447266,-100.0,-7.888421058654785,4.893658638000488,-7.19239616394043,1.0,S1C_IW_GRDH_1SDV_20251226T161634_20251226T161659_005625_00B3A3_6411_COG.SAFE
2026-01-01,ascending,-14.71883773803711,-100.0,-3.590172290802002,3.7428908348083496,-25.47163200378418,-100.0,-9.79581069946289,16.184350967407227,-10.75279426574707,1.0,S1A_IW_GRDH_1SDV_20260101T161747_20260101T161812_062576_07D7CD_F8AA_COG.SAFE
2026-01-07,ascending,-15.425070762634277,-45.849117279052734,-0.9218348264694214,4.648154258728027,-25.354162216186523,-100.0,-9.048773765563965,13.696969032287598,-9.929091453552246,1.0,S1C_IW_GRDH_1SDV_20260107T161633_20260107T161658_005800_00B9AC_46E0_COG.SAFE
